""	"Rank"	"Title"	"Description"	"Runtime"	"Genre"	"Rating"	"Metascore"	"Votes"	"Gross_Earning_in_Mil"	"Director"	"Actor"
"29"	29	"The Magnificent Seven"	"   Seven gunmen in the old west gradually come together to help a poor village against savage thieves."	132	"Action"	6.9	54	159949	93.43	"Antoine Fuqua"	"Denzel Washington"
"30"	30	"13 Hours"	"   During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos."	144	"Action"	7.3	48	97776	52.85	"Michael Bay"	"John Krasinski"
"31"	31	"Star Trek Beyond"	"   The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test."	122	"Action"	7.1	68	201298	158.8	"Justin Lin"	"Chris Pine"
"32"	32	"Now You See Me 2"	"   The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet."	129	"Action"	6.5	46	200612	65.08	"Jon M. Chu"	"Jesse Eisenberg"
"33"	33	"Moonlight"	"   A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami."	111	"Drama"	7.4	99	207248	27.85	"Barry Jenkins"	"Mahershala Ali"
"34"	34	"Captain Fantastic"	"   In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."	118	"Comedy"	7.9	72	147885	5.88	"Matt Ross"	"Viggo Mortensen"
"35"	35	"War Dogs"	"   Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan."	114	"Comedy"	7.1	57	144357	43.02	"Todd Phillips"	"Jonah Hill"
"36"	36	"Inferno"	"   When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot."	121	"Action"	6.2	42	130414	34.34	"Ron Howard"	"Tom Hanks"
"37"	37	"The Purge: Election Year"	"   Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge."	108	"Action"	6	55	75347	79	"James DeMonaco"	"Frank Grillo"
"38"	38	"Kimi no na wa."	"   Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"	106	"Animation"	8.4	79	111730	5.02	"Makoto Shinkai"	"Ryûnosuke Kamiki"
"39"	39	"Zootropolis"	"   In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."	108	"Animation"	8	78	358645	341.2	"Byron Howard"	"Ginnifer Goodwin"
"40"	40	"Miss Peregrine's Home for Peculiar Children"	"   When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers."	127	"Adventure"	6.7	57	133661	87.24	"Tim Burton"	"Eva Green"
"41"	41	"The Boy"	"   An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive."	97	"Horror"	6	42	65040	35.79	"William Brent Bell"	"Lauren Cohan"
"42"	42	"Hell or High Water"	"   A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas."	102	"Action"	7.6	88	162315	26.86	"David Mackenzie"	"Chris Pine"
